Word,Definition,Sentence
당위,"当务、应当 (當爲) / [EN] Imperative, moral duty or obligation","직장 생활을 할 당시의 인간관계는 취향이라기보다는 반드시 해야만 하는 당위에 가까웠습니다. (职场生活时的人际关系与其说是个人喜好，不如说更接近于必须做到的某种应当。)"
혹사,"酷使、过度劳累 (酷使) / [EN] Overworking, abusing one's body or resource","좋아하지도 않는 술자리를 이어가며 늦은 밤까지 제 몸을 혹사하곤 했습니다. (过去我常常勉强参加不喜欢的酒局，直到深夜都在残酷折磨自己的身体。)"
전전하다,"辗转、频繁流转 (輾轉) / [EN] To wander from place to place, roam around","마시기 싫은 술을 마셔 가면서 밤늦게까지 수많은 술자리를 전전하곤 했습니다. (过去我常常喝着不想喝的酒，熬夜在无数个酒局之间来回辗转。)"
소모적,"消耗性的 (消耗的) / [EN] Wasteful, draining, consumptive","지나고 나서 되돌아보니 좋아하지 않는 사람들과 보낸 시간들이 너무 소모적이었습니다. (过去之后回想起来，和不喜欢的人在一起度过的那些时间太具消耗性了。)"
측은지심,"恻隐之心 (惻隱之心) / [EN] Compassion, pity for others' misfortune","고양이를 돌볼 때면 제 내면에 숨어 있던 선함과 측은지심을 깊이 느끼게 됩니다. (每当照顾猫咪时，我都能深刻体会到自己内心深处隐藏 friendliness 和恻隐之心。)"
자뻑,"自恋、自我陶醉 (自曝/自誇) / [EN] Self-complacency, being full of oneself","내가 사람을 도구로 대하지 않는다는 것을 보며 일종의 자뻑 같은 만족감이 생깁니다. (看到自己没有把人当成工具，心中便会产生一种类似于自我陶醉的满足感。)"
격리,"隔离 (隔離) / [EN] Isolation, quarantine","코로나 시대 동안 우리는 원치 않게 외부 세상으로부터 철저히 격리되어 지내야 했습니다. (在新冠时代，我们不得不违背意愿地与外部世界彻底隔离生活。)"
실존,"实存、存在 (實存) / [EN] Existence, existential reality","파스칼은 고독을 견디지 못하는 인간의 무능력에서 실존의 공허함을 발견했습니다. (帕斯卡从人类无法忍受孤独的无能中，发现了实存的空虚感。)"
무능력,"无能力 (無能力) / [EN] Inability, incompetence, impotence","인간 불행의 원인은 혼자서 조용히 방에 머물 수 없는 무능력에 기인한다고 합니다. (据说人类不幸的根源，归因于无法独自安静待在房间里的这种无能力。)"
뻘쭘하다,"尴尬、难堪 (韩文固有词) / [EN] Awkward, embarrassed","영화관에 혼자 보러 가는 것이 너무 뻘쭘해서 괜히 친구에게 연락해 같이 가자고 합니다. (一个人去电影院觉得太尴尬，于是便故意联系朋友，提议一起去。)"
경유하다,"经由、通过 (經由) / [EN] To pass through, go by way of","혼자서 삶의 어떤 시간 속을 경유하려고 할 때 반드시 타인을 필요로 하는 사람이 있습니다. (有些人在试图独自度过生命中的某个时间段时，必须要依赖他人的陪伴。)"
자존,"自尊 (自尊) / [EN] Self-respect, dignity","혼자서도 잘 지내는 사람은 남에게 의존하지 않고 자기만의 자존과 위엄을 지킵니다. (能独自相处得好的人不会依赖他人，而是保持着自己独有的自尊与尊严。)"
필연적,"必然的 (必然的) / [EN] Inevitable, necessary","관계를 소중히 여겨야 하지만, 궁극적으로 인간은 필연적으로 혼자일 수밖에 없습니다. (虽然应当珍惜人际关系，但归根结底，人类必然只能是孤独的个体。)"
태생적,"胎生性的、天生的 (胎生的) / [EN] Innate, born with","저는 원래 태생적으로 그렇게 외로움이나 고독을 잘 즐기는 성격인지 잘 모르겠습니다. (我不太清楚自己原本是否属于那种天生就擅长享受寂寞或孤独的性格。)"
성체,"成体、成年个体 (成體) / [EN] Adult organism, fully grown body","대부분의 영장류와 달리 인간은 성체로 성장하기까지의 사춘기 이행기가 매우 깁니다. (与大多数灵长类动物不同，人类在发育成成年个体之前，青春期的过渡期非常漫长。)"
